course,level,subject,a+%,>=b+%,pass%
ACADENG100,100,ACADENG,1%,32%,87%
ACADENG101,100,ACADENG,3%,50%,87%
ACADENG104,100,ACADENG,1%,31%,91%
ACADENG210,200,ACADENG,8%,87%,98%
ACCTG102,100,ACCTG,10%,44%,88%
ACCTG151G,100,ACCTG,17%,63%,90%
ACCTG211,200,ACCTG,9%,33%,73%
ACCTG221,200,ACCTG,6%,39%,86%
ACCTG222,200,ACCTG,2%,35%,91%
ACCTG311,300,ACCTG,15%,47%,95%
ACCTG312,300,ACCTG,5%,50%,95%
ACCTG321,300,ACCTG,10%,63%,96%
ACCTG371,300,ACCTG,8%,50%,95%
ANCIENT110,100,ANCIENT,5%,38%,76%
ANCIENT110G,100,ANCIENT,4%,38%,78%
ANCIENT210,200,ANCIENT,17%,53%,78%
ANCIENT211,200,ANCIENT,41%,70%,93%
ANCIENT255,200,ANCIENT,8%,45%,89%
ANCIENT311,300,ANCIENT,24%,41%,41%
ANCIENT355,300,ANCIENT,15%,50%,82%
ANTHRO110,100,ANTHRO,18%,73%,89%
ANTHRO200,200,ANTHRO,4%,50%,82%
ANTHRO201,200,ANTHRO,3%,46%,84%
ANTHRO237,200,ANTHRO,5%,49%,82%
ANTHRO241,200,ANTHRO,12%,67%,88%
ANTHRO301,300,ANTHRO,13%,73%,85%
ANTHRO317,300,ANTHRO,29%,91%,93%
ANTHRO337,300,ANTHRO,5%,42%,89%
ANTHRO354,300,ANTHRO,10%,66%,79%
ANTHRO374,300,ANTHRO,8%,42%,82%
ANTHRO377,300,ANTHRO,40%,79%,96%
ARCHDES200,200,ARCHDES,10%,51%,95%
ARCHDES300,300,ARCHDES,16%,64%,96%
ARCHDRC203,200,ARCHDRC,10%,55%,94%
ARCHHTC341,300,ARCHHTC,3%,55%,97%
ARCHTECH207,200,ARCHTECH,8%,55%,95%
ARCHTECH314,300,ARCHTECH,2%,48%,99%
ARTHIST115,100,ARTHIST,6%,65%,87%
ARTHIST210,200,ARTHIST,8%,61%,92%
ARTHIST236,200,ARTHIST,5%,56%,87%
ARTHIST310,300,ARTHIST,15%,69%,92%
ARTHIST336,300,ARTHIST,6%,45%,84%
ARTSCHOL100A,100,ARTSCHOL,39%,83%,91%
ARTSCHOL200A,200,ARTSCHOL,46%,92%,97%
ARTSCHOL300A,300,ARTSCHOL,66%,93%,97%
ARTSGEN104,100,ARTSGEN,10%,45%,79%
